NOUN,VERB/PREP,NOUN
a,truncated,isoform
a,secreted,space
addition,to,glycoprotein
production,of,quantities
quantities,of,a
sGP,into,space
antigens,suggested,mechanism
generation,secreted,antigens
antigens,studied_in,viruses
generation,of,antigens
viruses,as,mechanism
evasion,through,absorption
interference,with,clearance
mechanism,of,evasion
absorption,of,interference
role,conclusively,sGP
role,for,sGP
we_we,immunized,mice
we_we,demonstrate,sGP
mice,immunized,sGP
sGP,compete_for,antibodies
mice,with,constructs
antibodies,from,mice
mice,by,sGP
sGP,redirects,response
finding_it,shares,GP
thereby,allowing,finding_it
finding_it,absorb,antibodies
response,focus_on,epitopes
This_finding_it,with,GP
we_we,found,sGP
sGP,subvert,previously
response,resulting,cross-reactivity
cross-reactivity,with,sGP
finding,is,vaccinology
finding_it,underscores,importance
importance,eliciting,immunity
immunity,is,infection
immunity,rapidly,infection
finding,to,vaccinology
importance,of,immunity
subversion,represents,strategy
EBOV,evade,immunity
strategy,represent,obstacle
obstacle,to,design
an,enveloped,virus
virus,forms,family
virus,in,Mononegavirales
Mononegavirales,with,virus
agent,of,Ebola
-RSB-,to,-LSB-
EBOV,caused,outbreaks
discovery,in,1976
Africa,with,tolls
outbreaks,in,Africa
tolls,in,hundreds
filoviruses_they,are,one
filoviruses,recently,filoviruses_they
paleoviruses,suggesting,relationship
paleoviruses,identified_in,genomes
one,of,paleoviruses
relationship,with,mammals
evidence,suggests,bats
bats,are,reservoir
reservoir,of,EBOV
EBOV,in,today
fever,is,lack
interventions,underscores,importance
importance,developing,vaccine
vaccine,confers,immunity
treatment,for,fever
lack,of,interventions
importance,of,vaccine
vaccine,is,understanding
EBOV,suppresses,response
EBOV,distracts,response
EBOV,evades,response
vaccine,on,understanding
understanding,of,mechanisms
virus,is,secretion
One,widely,mechanism
mechanism,employed,virus
a,truncated,glycoprotein
secretion,of,a
mechanism,by,virus
glycoprotein,by,cells
-RRB-,is,component
component,exposed,surface
component,on,surface
finding_it,accepted,response
response,is,protection
focus,of,research
response,for,protection
protection,against,challenge
forms,on,UNKNOWN
Env,to,UNKNOWN
subunit,contains,domain
subunit,contains,domain
0,in,complex
complex,by,furin
furin,-LSB-,-RSB-
frames,in,genome
frames,joined,slippage
8,generating,transcript
transcript,allows,translation
frames,by,slippage
polymerase,at,site
slippage,of,polymerase
translation,of,"1,2_1,2"
there,been,debate
transcripts,resulting,synthesis
transcripts,have,codon
a,truncated,product
a,secreted,quantities
production,conserved_in,species
debate,regarding,function
function,of,sGP
codon,in,synthesis
synthesis,of,a
sGP,in,quantities
forms,appears,activity
forms,have,activity
-RSB-,-LSB-,-RSB-
finding,mutates,"1,2_1,2"
virus,reverts_to,phenotype
survival,within,host
role,for,sGP
sGP,in,survival
phenotype,in,vivo
it,hypothesized,functions
shares,over,%
functions,as,decoy
sequence,with,region
region,of,"1,2_1,2"
activity,yielded,results
observation,do,sGP
efforts,identify,activity
"anti-GP_1,2_antibodies_antibodies",between,sGP
studies,demonstrated,immunization
epitopes,not,sGP
"anti-GP_1,2_antibodies_antibodies",largely,epitopes
epitopes,with,sGP
studies,investigated,antibodies_antibodies
antibodies_antibodies,represent,state
animals,immunized_with,vaccines
most,of,studies
state,of,infection
study,examined,antibodies_antibodies
replicon,produces,GP
replicon,found,many
mice,immunized_with,replicon
"anti-GP_1,2_antibodies_antibodies",from,mice
