NOUN,VERB/PREP,NOUN
decins,Sans,res
research,led_to,creation
The_ERB_ERB,in,2001
emphasis,in,MSF_on_research_MSF
MSF_on_research_MSF,on,research
creation,of,ethics
ERB,encouraged,innovation
innovation,in,review
review,of,proposals
interaction,between,The_ERB_ERB
governance,described,paper
This,led_to,some
advances,in,governance
some,of,advances
governance,in,paper
ethics,review,introduction
.,then,practices
2009,describing,performance
policy,exempting,analysis
analysis,routinely,data
analysis,gives,prominence
analysis,engaged,context
analysis,Evaluating,impact
analysis,imposing,rules
framework,encourages,conversation
framework,to,ethics
work,from,2009
introduction,of,policy
analysis,of,data
prominence,to,principles
rules,with,context
preapproval,of,protocols
impact,of,studies
approval,of,surveys
conversation,about,issues
innovations,implemented,ERB
Some,of,innovations
The_ERB_ERB,such,approval
approval,of,protocols
protocols,to,procedures
innovations,by,The_ERB_ERB
We_We,argue,practice
ethics,review,revision
ethics,ought,revision
ethics,be,revision
ethics,challenge,revision
practice,in,ethics
members,allowed_for,innovations
interaction,between,researchers
innovations,on,partnership
partnership,between,The_ERB_ERB
attention,In,UNKNOWN
impact,of,framework
research,needs,step
research,defined,step
step,meaningfully,changes
impact,of,research
research,precisely,step
step,including,changes
step,towards,changes
changes,of,impact
impact,over,time
dialogue,between,The_ERB_ERB
committees,in,countries
We_We,hope,innovations
governance,described,organisations
governance,be,organisations
organisations,carrying,research
committees,reviewing,research
innovations,in,governance
governance,for,organisations
research,in,contexts
contexts,for,committees
decins,Sans,res
its_history_It,provides,assistance
assistance,to,populations
populations,in,danger
danger,in,countries
organization,rooted_in,ethics
values,of,MSF_on_research_MSF
MSF_on_research_MSF,as,organization
research,seen_as,core
core,to,mission
mission,of,MSF_on_research_MSF
research_MSF,developed,tools
tools,in,response
response,to,field
Unknown,participates,projects
sponsors,in,projects
projects,in,sites
papers,-LSB-,-RSB-
research,had,impact
research,provide,benefits
populations,served,research_MSF
populations,presented,paper
results,of,research
impact,on,policy
benefits,to,populations
populations,by,MSF_on_research_MSF
MSF_on_research_MSF,in,paper
research_MSF,shown,leadership
initiatives,in,sector
leadership,in,initiatives
research,become,activities
research,to,activities
activities,in,field
field,in,advocacy
ethics,review,board
research,led_to,creation
emphasis,on,research
creation,of,ethics
independence,of,the_ERB_from_the_organisation_ERB
the_ERB_from_the_organisation_ERB,from,organisation
members,have,relationship
Unknown,ensure,independence
MSF,during,tenure
relationship,with,MSF
conflict,of,interest
organisation_ERB,been,place
the_ERB_from_the_organisation_ERB,in,place
place,for,years
MSF,enhanced,sensitivities
MSF,lead,improvements
MSF,developing,research_proposals_proposals
ethics,to,improvements
improvements,in,both_research_proposals_proposals
sensitivities,towards,ethics
framework,standardizing,process
teams,addressing,issues
framework,helped_in,process
use,of,framework
teams,in,issues
issues,addressed,organisation_ERB
issues,by,the_ERB_from_the_organisation_ERB
the_ERB_from_the_organisation_ERB,since,inception
organisation_ERB,strives,approach
organisation_ERB,take,approach
approach,to,both_research_proposals_proposals
field,of,ethics
organisation_ERB,encouraged,innovation
ethics,review,terms
ethics,ought,terms
ethics,be,terms
ethics,be,terms
innovation,in,the_ERB_from_the_organisation_ERB
review,of,both_research_proposals_proposals
interaction,between,the_ERB_from_the_organisation_ERB
view,of,ethics
ethics,in,terms
terms,of,harms
ethics,review,procedure
stringency,be,type
stringency,with,type
research,on,estimation
type,of,research
estimation,of,harm
This,led,some
governance,further,paper
This,to,some
advances,in,governance
some,of,advances
governance,in,paper
organisation_ERB,run,documents
innovations,implemented,organisation_ERB
documents,utilized,jurisdictions
Some,of,innovations
the_ERB_from_the_organisation_ERB,to,documents
innovations,by,the_ERB_from_the_organisation_ERB
documents,in,jurisdictions
We,argue,practice
ethics,review,revision
ethics,is,field
ethics,ought,revision
ethics,be,revision
field,regarded,set
ethics,challenge,revision
standards_time_contexts_standards,fixed,time
practice,in,ethics
ethics,of,actors
field,as,set
set,of,rigid_standards_fixed_for_all_time_and_in_all_contexts_standards
rigid_standards_fixed_for_all_time_and_in_all_contexts_standards,for,time
time,in,contexts
practice,lacks,basis
many,recommended,standards_time_contexts_standards
standards_time_contexts_standards,based,practice
Much,of,practice
rigid_standards_fixed_for_all_time_and_in_all_contexts_standards,on,practice
practices,are,research
practices,examined,research
practices,of,research
practices,through,research
ethics,review,discussion
quality_improvement_approach_it,result,process
reviewers,requires,discussion
a_quality_improvement_approach_it,in,process
process,for,reviewers
adoption,of,rules
practice,demonstrates,ethics
practice,is,component
evaluation,in,ethics
spirit,of,evaluation
component,of,research
performance,focusing_on,years
activity,increased,number
activity,reflected_in,number
volume,of,activity
number,of,protocols
protocols,reviewed,ERB
protocols,by,the_ERB_between_2002_and_2013_ERB
2013,with,increase
the_ERB_between_2002_and_2013_ERB,between,2013
increase,in,number
number,of,protocols
protocols,across,period
Committee,is,prerequisite
research_protocols_Protocols,submitted,ERB
approval,from,Committee
prerequisite,to,approval
Overall_248_research_protocols_Protocols,to,the_ERB_between_2002_and_2013_ERB
the_ERB_between_2002_and_2013_ERB,to,Committees
Committees,in,country
ERB,waive,request
function,is,it
it,is,authorities
body,play,function
this,be,population
it,working,zone
group,persecuted,authorities
it,collaborate_with,authorities
population,served_by,MSF
request,for,example
MSF,in,zone
zone,with,group
this,to,population
group,by,authorities
review,received_in,months
requests,for,review
data,submitted,ERB
analyses,routinely,data
this_This,increased_to,requests
research,based_on,analyses
requests,during,period
period,despite,fact
fact,during,research
data,to,the_ERB_between_2002_and_2013_ERB
the_ERB_between_2002_and_2013_ERB,for,review
analyses,of,data
61,were,reviews
11,were,board
board,reviews,a
Board,evaluating,timeliness
timeliness,of,reviews
time,to,approval
audit,of,proposals
approval,of,weeks
ERB,needs,time
time,doing,review
review,than,researchers
researchers,for,responding
reply,in,case
shows,on,average
time,for,review
case,of,review
time,between,review
time,between,request
ERB,is,investigators
investigators,in,case
case,of,review
researchers,received,approval
revisions,from,researchers
procedure,is,review
procedure,for,review
review,for,review
this_This,is,fact
proposals,submitted,review
review,judged,risk
review,be,risk
design,is,number
this_This,to,fact
proposals,for,review
review,of,risk
risk,of,harm
number,of,reviewers
Unknown,is,indicator
ERB,is,process
timeline,of,procedure
indicator,of,performance
the_ERB_between_2002_and_2013_ERB,for,process
we_we,outline,innovations
innovations,compromising,role
framework,help,review
review,adopted_by,MSF
innovations,resulted_in,review
MSF,in,2013
review,without,role
review,on,role
role,of,framework
This,replaced,framework
framework,adapted_from,work
we_we,explain,both
both,is,framework
both,about,framework
we_we,begin,framework
we_we,explaining,framework
framework,is,all
we_we,by,framework
framework,at,all
framework,serve,purposes
its_intent_it,seeks,kinds
its_intent_it,articulate,kinds
its_intent_it,taken,importance
research,conducted,course
kinds,of,values
hand,in,case
considerations,of,importance
relation,to,topic
ethics,of,research
importance,in,relation
topic,in,hand
research,in,course
course,of,medicine
framework,be,product
product,influenced,experience
those,involved,its_intent_it
those,producing,its_intent_it
product,of,time
time,by,experience
experience,of,those
those,in,its_intent_it
Unknown,allows,development
considerations,held,development
considerations,be,development
light,evolving,situations
considerations,for,development
development,of,framework
framework,over,time
time,in,light
light,of,situations
framework,provides,assistance
framework,make,decisions
others,evaluate,decisions
assistance,to,others
decisions,about,ethics
ethics,of,research
This,means,framework
framework,be,aid
aid,to,deliberation
expression,of,ideals
its_intent_it,ought,use
its_intent_it,be,use
