NOUN,VERB/PREP,NOUN
SLE,with,factors
study,planned,association
study,test_for,association
polymorphisms,with,severity
severity,of,SLE
association,of,308_308
SLE,in,cases
This,is,study
study,including,cases
individuals,from,locality
cases,with,SLE
polymorphisms,characterized,technique
polymorphisms,using,technique
Cases,with,SLE
cases,showed,rate
rate,for,allele
allele,AT,TT
Unknown,showed,difference
cases,carrying,allele
severity,presented_by,indices
allele,in,cases
indices,in,cases
allele,versus,others
carriage,associated_with,susceptibility
SLE,in,subjects
severity,of,SLE
disease,characterized_by,production
production,of,autoantibodies
autoantibodies,against,range
tissues,implicated,kidney
tissues,including,kidney
manifestations,is,nephritis
manifestations,remains,cause
One,of,manifestations
cause,of,mortality
secondary,to,disease
disease,as,result
result,of,toxicity
likely,contribute,development
Genes,to,development
development,of,lupus
types,of,histocompatibility
there,is,evidence
evidence,supporting,role
genes,in,pathogenesis
role,of,genes
pathogenesis,of,SLE
investigated,is,alpha
cytokine,plays,role
cytokines,intensely,alpha
One,of,cytokines
role,in,responses
SLE,correlated,activity
TNF-α,in,SLE
SLE,with,activity
TNF-α,enhancing,expression
TNF-α,related,activation
neutrophils,as,costimulator
expression,of,molecules
costimulator,for,production
activation,of,cascade
activation,of,neutrophils
cascade,of,events
rs1800629,on,.3
region,of,MHC
allele,reported,activator
allele,be,activator
activator,than,allele
frequency,associated_with,risk
risk,of,disorders
cytokines,secreted,lymphocytes
it,controls,development
one,of,cytokines
cytokines,by,lymphocytes
development,of,1
studies,indicated,expression
level,has,effects
expression,of,level
effects,into,susceptibility
susceptibility,of,diseases
There,is,report
report,showing,cells
w,increasing,messenger
SLE,trigger,responses
blood,of,125_adult_patients_patients
125_adult_patients_patients,with,SLE
expression,in,blood
i,e,r
m,g,g
o,c,c
g,e,n
intron,known,secretion
intron,implicated,conditions
SNP,in,intron
intron,at,end
end,to,region
secretion,of,IFN-γ
SNP,suggested,carriers
carriers,showed,production
Analysis,of,role
role,of,SNP
study,is,association
study,involving,adult_patients_patients
study,investigate,association
SLE,all,LN
aim,of,study
125_adult_patients_patients,with,SLE
polymorphisms,with,susceptibility
SLE,from,LN
SD,28.3,years
adult_patients_Patients,recruited,Center
125_adult_patients_Patients,from,Center
adult_patients_patients,was,College
diagnosis,of,SLE
criteria,for,SLE
125_adult_patients_patients,to,College
