NOUN,VERB/PREP,NOUN
Firefighters_firefighters,struggling,fire
Firefighters_firefighters,control,fire
world,heritage-listed,Island
Island,before,hit
",",raging,weeks
swathes,of,'s
's,for,weeks
Temperatures,forecast,34C
heatwave,sweeps,region
heatwave,raising,concern
conditions,fuel,blaze
Temperatures,peak_at,34C
heatwave,across,region
Island,is,vegetation_it
vegetation_it,'s,vegetation_it
vegetation_it,ignite,Haig
vegetation,on,Island
state,including,Island
Island,by,drought
change,fuelling,droughts
two-thirds_state_they,worsen,Temperatures_temperatures
report,from,'s
Haig,said,access
Haig,stymied_by,access
Firefighters,on,Island
access,to,blaze
Service,said,fire
Service,not,properties
fire,burning_on,fronts
fronts,across,hectares
authorities,banned,visitors
fire,inched,settlements
visitors,travelling_to,destination
visitors,from,destination
fire,to,settlements
services,until,notice
settlements,in,days
Haig,said,aircraft
aircraft,deployed,fire
aircraft,fight,fire
some,protecting,sites
some,tasked_with,sites
fire,including,some
Haig,said,efforts
Haig,stop,fire
Haig,slow,progress
Planes,dropped_about,litres
water,on,Saturday
litres,of,water
we,'re,vegetation_it
we,receive,vegetation_it
The_vegetation_on_Fraser_Island_it,for,time
Service,imposed,ban
Firefighters_firefighters,brace,stretch
ban,in,area
Firefighters_on_Fraser_Island_firefighters,for,stretch
stretch,of,conditions
",",listed,site
Island,for,population
dogs,as,site
population,of,dingoes
site,for,rainforests
system,of,dunes
setting,attracts,thousands
It,meaning,paradise
paradise,in,language
thousands,of,tourists
language,of,people
Haig,said,Firefighters_firefighters
Firefighters_firefighters,trying,management
Firefighters_firefighters,balance,management
management,believed,campfire
management,sparked,campfire
management,avoid,damage
management,of,blaze
campfire,with,damage
blaze,by,campfire
fires,burning,Queensland_Queensland
fires,soared,heatwave
heatwave,saw,records
residents,sweltered,days
fires,in,Queensland_Queensland
's,through,days
days,above,40C
fires,burning_across,today
return,to,conditions
Australia,reeling,the
Unknown,devastating,fires
Unknown,left,people
people,as,thousands
size,of,UK
Unknown,displaced,animals
country,is,one
government,dragged,heels
heels,tackling,emissions
polling,showing,Australians
Australians,are,change
heels,on,emissions
emissions,despite,polling
Australians,about,change
