NOUN,VERB/PREP,NOUN
Biden,defeated,Trump
Biden,offered,himself
Trump,become,president
leader,divide,country
leader,unify,country
country,gripped_by,pandemic
Democrat_Joe_Biden_himself,to,nation
nation,as,leader
States,on,Saturday
president,of,States
confluence,of,turmoil
I,sought,home
I,restore,soul
I,make,America_America
I,unite,us
Biden,said,speech
soul,of,America_America
America_America,around,world
Democrat_Joe_Biden_Biden,in,speech
speech,from,home
College,votes,a
Biden,crossed,threshold
a,win,Pennsylvania_Pennsylvania
threshold,of,270
a,in,Pennsylvania_Pennsylvania
victory,came,days
officials,sorted,surge
officials,delayed,processing
victory,after,days
days,of,uncertainty
officials,through,surge
surge,of,votes
Trump,refused,action
Trump,threatening,action
Trump,concede,action
action,on,counting
Biden,used,speech
those,vote,him
those,telling,voters
those,Let,'s
he,understood,disappointment
speech,as,branch
branch,to,those
those,for,Democrat_Joe_Biden_him
him_voters_he_their_disappointment_chance_we,stop,opponents
him_voters_he_their_disappointment_chance_we,treating,opponents
his_acceptance_speech_It,put,rhetoric
his_acceptance_speech_It,lower,temperature
his_acceptance_speech_It,see,other
his_acceptance_speech_It,make,progress
opponents,as,enemy
other,to,other
him_voters_he_their_disappointment_chance_We,are,voters_enemies
him_voters_he_their_disappointment_chance_We,are,Americans
Trump,posed,threat
candidacy,on,ideology
ideology,on,coalition
threat,to,democracy
coalition,of,voters
voters,around,notion
",",resulted,victories
Americans,wanting,return
bastions,flipped,Trump
appeal,to,Americans
presidency,in,victories
victories,in,Wisconsin
return,to,presidency
bastions,to,President_Donald_Trump_Trump
President_Donald_Trump_Trump,in,2016
victory,was,repudiation
president-elect,reshaped,norms
deeply,polarized,nation
nation,grappling,questions
leadership_that,killed,Americans
norms,of,life
nation,with,questions
questions,of,justice
fairness,in,grips
grips,of,virus
Harris,made,history
woman,become,president
U.S.,faces,reckoning
history,as,woman
reckoning,on,justice
Unknown,is,person
descent,elected,presidency
Trump,defeated,Clinton
person,of,descent
woman,in,government
descent,to,presidency
fireworks,display,sky
fireworks,lit,sky
track,win,vote
margin,grow,ballots
Biden_Biden,was_on,track
vote,by,million
Trump_he,issued,statement
Unknown,signaling,transfer
statement,saying,campaign
campaign,take,actions
transfer,of,power
Trump_he,followed,tweet
tweet,declared,Trump_I
Trump_I,WON,ELECTION
Trump_he,with,tweet
Trump_Trump,pointed,delays
Trump_Trump,processing,vote
states,allege,evidence
states,argue,rival
there,was,fraud
rival,trying,power
rival,seize,power
president,trying,doubt
president,sow,doubt
Trump_Trump,to,delays
delays,in,vote
vote,in,states
states,with,evidence
charge,by,president
doubt,about,process
Trump_Trump,is,1992
Trump_Trump,lose,reelection
reelection,since,Bush
Bush,in,1992
Trump_He,was,golfing
Trump_he,lost,race
golfing,at,club
Trump_He,stayed,hours
Trump_He,stopping,bride
Trump_He,congratulate,bride
Trump_he,left,motorcade
motorcade,returned_to,House
Trump_He,for,hours
House,to,cacophony
cacophony,of,shouts
people,cheered,fists
people,pumped,fists
stage,stood,Twitter_it
senator,arrived,cellphones
Twitter_it,erected,Night
Twitter_it,celebrate_on,Night
",",near,stage
fists,as,news
stage,until,night
kayak,yelled_to,paddling
men,in,kayak
paddling,in,direction
people_They,called,Twitter_it
people,on,shore
video,speaking,Biden_Biden
people_shore_We,did,Twitter_it
Harris,in,gear
gear,on,video
video,to,Biden_Biden
Biden_Biden,on,phone
there,were,prayer
people_People,ran,buildings
people_People,banging,pots
people_People,of,buildings
buildings,on,pots
people_They,danced,strangers
people_They,with,strangers
strangers,amid,horns
cheers,were,those
those,passing,trucks
those,for,trucks
people_People,streamed,Lives
Trump_Trump,ordered,clearing
June,waving,signs
Trump_Trump,taking,pictures
people_People,into,Lives
Plaza,near,House
House,near,Trump_Trump
clearing,of,protesters
protesters,in,June
Unknown,arguing,evidence
election,marred_by,fraud
power,without,evidence
Trump_Trump,to,transfer
transfer,of,power
nation,has,history
candidates,accepting,outcome
candidates,dating,1800
