NOUN,VERB/PREP,NOUN
coronavirus,confirmed_in,east
case,of,coronavirus
Ireland,to,Centre
east,of,Ireland
man,in,part
care,to,HPSC
part,of,country
part_country_It,said,patient
patient,identified,line
patient,in,line
line,with,protocols
protocols,for,investigation
investigation,of,cases
another,confirmed,case
case,associated_with,travel
travel,from,area
area,in,Italy_Italy
contact,with,another
HPSC,said,efforts
way,identify,people_contact_man_people
people_contact_man_people,came,contact
efforts,are_under,way
Director,of,HPSC
people_who_came_into_close_contact_with_the_man_people,into,contact
contact,with,man
Cuddihy,said,contact
contact,tracing,process
process,commenced,patient_man_part_country_he
patient_man_part_country_he,said,case_coronavirus_it
case_coronavirus_it,is,detail
case_coronavirus_it,know,detail
people_contact_man_people,came,contact
detail,of,people_who_came_into_close_contact_with_the_man_people
people_who_came_into_close_contact_with_the_man_people,into,contact
contact,with,man
He,said,work
case_coronavirus_it,include,variety
work,involve,man
work,identifying,man
journey,made_by,man
variety,of,settings
stages,of,journey
Cuddihy,said,case_coronavirus_it
people_contact_man_people,need,advice
notified,notified,advice
notified,given,advice
case_coronavirus_it,is,process
case_coronavirus_it,take,time
people_contact_man_we,being,case_coronavirus_it
people_contact_man_people,notified,advice
Health,said,place
place,take,time
place,is,people_contact_man_they
place,say,people_contact_man_they
people_contact_man_they,happen,degree
procedures,kicking_into,place
Officer,at,Department
Department,of,Health
people_who_came_into_close_contact_with_the_man_they,with,degree
degree,of,urgency
Holohan,said,numbers
effort,identify,people_contact_man_people
doctors,mobilised_in,relation
numbers,of,doctors
relation,to,case
case,as,part
part,of,effort
man,been,flight
Holohan,drawn_on,man
man,on,flight
flight,as,woman
Covid-19,in,Ireland
patient_man_part_country_he,said,case
case,contact,another
case,associated_with,travel
travel,from,area
Italy_Italy,as,case
area,of,Italy_Italy
case,with,another
people_contact_man_people,need,followed-up
man,used,transport
patient_man_part_country_he,said,case_coronavirus_it
case_coronavirus_it,form,part
case_coronavirus_it,used,case_coronavirus_it
contact,tracing_by,authorities
part,of,contact
Holohan,said,reason
released,is,confidentiality
released,protect,confidentiality
details,released,confidentiality
confidentiality,of,patient
We,have,people_contact_man_we
people_contact_man_we,have,protect
We,hide,people_contact_man_we
people_contact_man_we,protect,patient_man_part_country_he
He,said,people_contact_man_we
people_contact_man_we,preparing,eventuality
people_contact_man_we,adding,procedures
people_contact_man_we,shows,procedures
people_who_came_into_close_contact_with_the_man_we,for,eventuality
eventuality,for,months
procedures,in,place
Glynn,said,man
treated,is,care
man,treated,care
man,in,care
care,of,staff
He,said,the
the,receiving,hospitals
hospitals,have,rooms
hospitals,are,necessary
hospitals,assess,case
place,in,necessary
rooms,in,place
Glynn,said,case
Glynn,is,surprise
case,in,Republic
Republic,of,Ireland
He,said,case_coronavirus_it
case_coronavirus_it,changes,nothing
He,adding,country
country,remains,a
nothing,in,terms
terms,of,approach
Holohan,said,he
he,expects,there
we,have,likelihood
there,be,cases
likelihood,containing,cases
measures,are_in,place
likelihood,of,cases
cases,with,measures
planning,is,way
he,said,advice
way,deal_with,spread
Dr_Holohan_he,on,advice
planning,under,way
advice,from,Centre
Centre,for,Control
spread,of,coronavirus
He,said,ECDC
ECDC,categorised,likelihood
ECDC,happened,Italy
likelihood,of,transmission
transmission,to,Italy
transmission,in,Italy
Italy,as,elsewhere
elsewhere,in,Europe
Harris,held,call
call,with,counterparts
counterparts,in,Northern_Ireland_Ireland
Northern_Ireland_Ireland,regarding,coronavirus
Officer,speak,'s
They,discussed,situation
They,noted,cooperation
situation,regarding,virus
cooperation,in,place
place,between,South
virus,on,island
island,of,Northern_Ireland_Ireland
All,agreed,cooperation
All,remain,contact
All,continue_with,cooperation
cooperation,in,contact
contact,in,period
Surgeons,said,urgency
Govt,urged,planning
leaders,focus,planning
Govt,focus_on,planning
planning,deal_with,outbreak
expert,from,College
urgency,of,merits
College,of,Surgeons
cessation,of,talks
planning,over,virus
leaders,on,planning
outbreak,of,virus
he,believes,level
funds,negotiate,coronavirus
funds,happening_with,coronavirus
Professor,of,Medicine
Medicine,at,RCSI
level,of,planning
re-allocation,of,funds
McConkey,said,Government
Government,needs,concerns
Government,make,concerns
Government,liaise,departments
measures,needed,spread
measures,limit,spread
priority,with,departments
departments,about,measures
spread,of,virus
He,said,servants
Agriculture,need,measures
Agriculture,consider,measures
servants,in,Department
Department,of,Agriculture
measures,in,event
event,of,outbreak
outbreak,in,Northern_Ireland_Ireland
McConkey,also,do
McConkey,take,place
people,used,people_they
people,told,people_they
place,decide_upon,levels
levels,of,control
people,to,Irish_people_they
He,said,spread
virus,onboard,ship
He,showed,spread
He,contain,spread
ship,across,Italy
spread,of,virus
Unknown,bringing,number
cases,to,23
England,for,coronavirus
number,of,UK
patients,returned_from,Italy
Two,of,patients
one,from,Asia
cases,are_in,Berkshire
