NOUN,VERB/PREP,NOUN
codes_codes,are,family
family,of,Hamming_codes_codes
codes_codes,detect,errors_errors
two-bit_errors_errors,without,detection
code,correct,errors_errors
code,detect,number
number,of,bits
bits,in,error
codes_codes,are,codes_codes
rate,for,Hamming_codes_codes
distance,of,three_three
Hamming_codes_codes,with,distance
Hamming,invented,codes_codes
way,correcting,errors_errors
errors_errors,introduced,readers
1950,as,way
Hamming_codes_codes,in,1950
two-bit_errors_errors,by,readers
Hamming,elaborated,idea
Hamming,specifically,code
code,adds,bits
idea,on,code
bits,to,bits
bits,of,data
codes_codes,are,class
class,of,code
there,is,code
code,with,−
codes_codes,is,k
codes_codes,is,possible
changes,needed,word
word,is,three_three
changes,go_from,word
rate,of,Hamming_codes_codes
possible,for,Hamming_codes_codes
Hamming_codes_codes,with,distance
distance,of,three_three
number,of,changes
word,to,word
code,listing,columns
code,are,code
code,is,code
code,constructed_by,columns
matrix,of,code
columns,of,r
code,of,code
matrix,has,property
i.e_number_bit_changes_code_word_code_word_they,correct,rate
codes_codes,add,data
Hamming_codes_codes,to,data
This,is,case
system,is,RAM
errors_errors,are,codes_codes
codes_codes,are,RAM
RAM,with,system
case,in,memory
code,having,bit
Unknown,Richard_W._Hamming_Hamming,codes_codes
codes_codes,achieve,distance
codes_codes,allows,occur
codes_codes,distinguish,error
error,occurs,errors_errors
distance,of,four_four
occur,between,error
Unknown,extended,codes_codes
Unknown,correcting,SECDED
codes_codes,are,SECDED
Hamming_codes_codes,as,SECDED
