NOUN,VERB/PREP,NOUN
Bezos,said,he
he,step,executive
he,leaving,helm
he,founded,years
executive,of,Amazon_Amazon
helm,of,company
Bezos,transition,role
quarter,starts,company
transition,to,role
role,of,chair
chair,in,quarter
quarter,of,year
executive,of,Services
Services,as,CEO_of_Amazon_CEO
CEO_of_Amazon_CEO,of,Amazon_Amazon
Bezos,said,transition
transition,give,him
I,need,1
I,focus,1
memo,to,employees
Jeff_Bezos_I,on,1
announcement,set,bells
transition,portend,change
bells,on,Street
Street,throughout,community
Amazon_Amazon,reported,year
growth,netting,billion
growth,on,Tuesday_Tuesday
year,of,growth
Tuesday_Tuesday,including,increase
billion,in,income
increase,in,sales
income,from,year
sales,from,2019
Investors,seem,news
Investors,fazed_by,news
price,following,announcement
Unknown,making,time_its_market_value_it
market,value,trillion
steps,from,Amazon_Amazon
market,around,trillion
Amazon_Amazon,at,time
one,of,companies
companies,in,world
time_its_market_value_It,remains,Bezos
time_its_market_value_It,seen,Bezos
's,in,role
executives,stepped,CEO_CEO
executives,as,CEO_of_Amazon_CEO
Ellison,at,Oracle
Gates,at,Microsoft
Bezos,remains,one
I,reiterate,-RSB-
Investors_investors,on,Tuesday_Tuesday
officer,of,Amazon_Amazon
He,going,chairman
He,be,chairman
story,in,success
Bezos,tapping,employee
Bezos,become,one
employee,started,addition
employee,grown,years
employee,joined_in,1997
years,account_for,percent
one,of,leaders
leaders,of,industry
addition,to,operations
operations,in,years
percent,of,profit
move,is,point
point,in,one
one,of,runs
runs,in,history
Bezos,founded,Amazon_Amazon
Bezos,survived,bubble
Bezos,built,company
facilities,touching,part
1994,as,bookstore
bubble,in,2000s
company,into,one
Amazon_Amazon,in,1994
one,of,employers
network,of,facilities
part,of,country
Bezos,is,one
Bezos,edged,spot
spot,by,Musk
time,was,internet
I,asked,time
Jeff_Bezos_I,at,time
Bezos,said,memo
Jeff_Bezos_Bezos,in,memo
memo,about,days
days,of,Amazon_Amazon
I,had,while
I,explain,while
Jeff_Bezos_I,in,while
success,moved,time_its_market_value_it
success,scrutinized,companies
Amazon_at_a_time_when_its_market_value_it,quickly,upstart
companies,in,country
upstart,into,one
one,of,watched
Union,regulators,it
it,used,competitors
it,edge,competitors
Union,about,NBC_News_it
Bezos_he,faced,questions_questions
accusations,pricing,competitors
accusations,using,data
data,inform,sale
Bezos_Bezos,called_before,Committee
's,including,accusations
accusations,of,competitors
competitors,on,platform
sale,of,products
Bezos_Bezos,said,Bezos_he
Bezos_he,plans,efforts
addition,dedicating,time
Bezos_he,owns,Bezos_Bezos
Bezos_he,focused,families
Unknown,starting,preschools
Bezos_he,focus_on,efforts
addition,to,time
time,to,Origin
Origin,to,Post
efforts,including,Fund
Fund,on,families
preschools,in,communities
Bezos_I,think,organizations
organizations,have,Bezos_he
Bezos_he,wrote_in,note
note,to,employees
Bezos_I,about,impact
executive_editor_Baron,commended,Bezos_Bezos
interview,with,News
Bezos_Bezos,for,ownership
ownership,of,paper
It,'s,money
someone,understands,business
consumer_business_That,is,us
consumer_business_That,to,us
Bezos_Bezos,faced,accusations
Bezos_he,been,fortune
Bezos_he,share,fortune
author,divorced,Bezos_Bezos
billion,in,year
Bezos_Bezos,in,2019
Scott,received,stake
part,of,divorce
stake,in,Amazon
move,sparked,reaction
reaction,from,many
chiefs,including,Pichai
many,of,chiefs
