NOUN,VERB/PREP,NOUN
Stone,is,stele
decree,issued,Egypt
stele,inscribed_with,versions
versions,of,decree
BC,during,dynasty
dynasty,on,behalf
behalf,of,Epiphanes
Egyptian,using,scripts
texts,are_in,Egyptian
bottom,is_in,Greek
decree,has,differences
decree,making,key
key,deciphering,scripts
differences,between,versions
key,to,scripts
stone,believed,temple
stone,displayed,temple
stone,carved_during,period
temple,at,Sais
period,within,temple
period_It,probably,antiquity
period_It,eventually,material
period,as,material
the_Hellenistic_period_It,in,antiquity
antiquity,during,period
material,in,construction
construction,of,Julien
Julien,near,town
town,of,Rashid
Rosetta,in,Delta
period_It,discovered,1799
the_Hellenistic_period_It,in,1799
1799,by,Bouchard
Bouchard,during,campaign
period_It,was,text
three_it,aroused,interest
potential,decipher,script
text,recovered_in,times
interest,with,potential
plaster,casts,scholars
plaster,began,scholars
plaster,circulating_among,scholars
they,took,stone
British,defeated,French
stone,to,London
London,under,Capitulation
Capitulation,of,Alexandria
Alexandria,in,1801
period_It,been,display
period_It,visited,object
the_Hellenistic_period_It,on,display
display,at,Museum
Museum,since,1802_1802
decree,was,underway
text,published_in,1803
Study,of,decree
translation,of,text
Champollion,announced,transliteration
three_it,took,scholars
scholars,were,literature
scholars,read,literature
Paris,in,1822
transliteration,of,scripts
scripts,in,Paris
decoding,were,recognition
stone,offered,versions
text,used,characters
text,did,similarities
text,had,similarities
characters,used,words
characters,spell,names
characters,spell,words
advances,in,decoding
versions,of,text
similarities,to,demotic
decree,discovered,inscriptions
inscriptions,known,BC
copies,of,decree
inscriptions,including,BC
Decree,of,Canopus
Decree,of,Alexandria
Alexandria,in,BC
Canopus,in,BC
decree,of,IV
Stone,is,three_it
three_it,was,key
key,to,understanding
understanding,of,literature
',refer,clue
clue,to,field
field,of,knowledge
