NOUN,VERB/PREP,NOUN
's,to,risk
risk,of,incitement
we,suspended,account
company,said_in,tweet
review,of,Tweets
account,to,risk
Tweets,from,account
risk,of,incitement
incitement,of,violence
Unknown,had,followers
followers,following,siege
siege,of,Hill
Hill,by,protesters
injuries,sustained_during,riot
officer,of,injuries
Twitter_Twitter,warned,violations
accounts,result,suspension
's,in,suspension
Facebook,said,Facebook_it
end,of,term
Zuckerberg,said,ban
use,incite,insurrection
's,of,government
insurrection,against,government
Biden,on,20
Trump,said,he
he,attend,inauguration
hours,promising,transition
hours,after,transition
inauguration,of,successor
transition,of,power
I,going,inauguration
those,asked,I
Trump,wrote_on,Twitter_Twitter
all,of,those
inauguration,on,20th
