NOUN,VERB/PREP,NOUN
UK,said,it
UK,become,country
it,rolled,week
country,approve,vaccine
country,in,use
The_UK_it,from,week
vaccine,for,use
residents,be,line
residents,followed,years
residents,in,line
line,for,vaccine
vaccine,by,years
age_age,over,workers
years,of,age_age
those,deemed,conditions
those,with,conditions
Unknown,needs,C
studies,be,%
groups,to,makers
C,in,studies
jab,between,C
it,require,doses_patient_doses
21,to,gap
patient,with,21
spokesman,said,government
government,today,recommendation
spokesman,of,Care
recommendation,from,products
This,follows,months
data,concluded,vaccine
vaccine,met,standards
data,by,experts
months,of,trials
analysis,of,data
experts,at,Medicines_and_Healthcare_products_Regulatory_Agency_MHRA
standards,of,effectiveness
Johnson,said,it
regulator,authorised,vaccine
he,said,economy
he,get,economy
vaccine,for,use
he,said,Twitter
Medicines_products_MHRA,authorised,vaccine
Mr_Hancock_he,on,Twitter
vaccine,begin,UK
vaccine,made,UK
UK,from,week
vaccine,across,UK
vaccines,allow,us
us,reclaim,lives
us,get,economy
protection,of,vaccines
Whitty,said,it
it,take,spring
spring,fully,population
population,wish,jab
population,receive,jab
The_UK_it,until,spring
Hancock,said,This
This,is,news
NHS,stands,that
NHS,make,that
This_we,start,programme
programme,vaccinating,people_people
programme,of,people_against_Covid-19_people
people_against_Covid-19_people,against,Covid-19
list,for,programme
age_age,over,years
years,of,age_age
one,of,programme
Residents,in,home
years,of,age_age
home,for,adults
years,of,age_age
Hancock,told,News
Hancock,be,''
years,of,age_age
individuals,aged,years
years,with,conditions
Residents_in_a_care_home_for_older_adults_and_their_carers_All_those_80_years_of_age_and_over_them,at,risk
age_age,over,years
age_age,over,years
age_age,over,Hancock
delivery,of,vaccine
modes,of,delivery
years,of,age_age
years,of,age_age
risk,of,disease
years,of,age_age
first_first,is,hospitals
This_we,got,facilities
hospitals,of,course
facilities,like,this
country,set,vaccine
country,waiting,vaccine
country,receive,vaccine
hospitals,across,country
people_they,support,roll-out
people_they,have,facilities
course,of,conditions
conditions,of,vaccine
people_they,be,vaccine
vaccine,approved,people_that
people_that,have,requirements
Moderna,reported,findings
findings,are,technology
findings,of,effectiveness
effectiveness,in,trials
trials,of,vaccines
technology,on,RNA
Union,saying,procedure
EMA,said,vaccine_it
vaccine_it,decide,29
the_vaccine_it,by,29
Minister,said,Swann
Swann,said,This
This,is,day
department,has,preparations
preparations,in,place
there,are,days
There,be,days
people_people,let,guard
Sturgeon,said,news
UK,was,best
vaccine,approved_for,use
best,in,time
authorisation,marks,moment
moment,in,fight
authorisation,is,goal
people_we,applaud,MHRA
MHRA,conduct,assessment
MHRA,take,action
people_we,declared,science
action,protect,people_people
science,win,people_we
people_we,working_toward,people_we
people_we,anticipate,approvals
urgency,safely,vaccine
people_we,focused_on,level
people_we,moving_with,level
level,of,urgency
vaccine,around,world
There,is,hope
there,is,hope
Nottingham,said,he
he,feels,vaccine
hope,on,horizon
hope,on,horizon
head,of,sciences
sciences,at,University
University,of,Nottingham
relief,with,news
's,of,vaccine
McInerney,said,vaccine
vaccine,appear,efficacy
vaccine,works,everyone
vaccine,decrease_in,efficacy
number,of,of
populations,for,everyone
efficacy,in,populations
these,received,vaccine
Eight,of,these
He,added,vaccine
vaccine,seen,effect
vaccine,had,effect
McInerney,said,those
immunity,expected,days
those,receiving,vaccine
vaccine,get,jabs
immunity,around,days
jabs,around,weeks
He,said,vaccine
Pfizer,said,Pfizer_it
vaccine,need,temperatures
vaccine,stored,temperatures
vaccine,be,complications
Pfizer_it,survive_in,fridge
fridge,for,days
vaccine,at,temperatures
roll,without,complications
